algorithm,max_range,real_cardinality,estimated_cardinality,ratio,size,insertion_time_mean,insertion_time_std,estimation_time
hllpp_16_mmh3,100000,100000,99845,0.99845,524400,0.0009117753982543945,0.0027407270784663928,6.5479278564453125
hllpp_16_mmh3,100000,100000,99870,0.9987,524400,0.000889146614074707,0.0005644238691980698,6.43610954284668
hllpp_16_mmh3,100000,100000,100535,1.00535,524400,0.0009228615760803223,0.001783155309980945,6.274700164794922
hllpp_16_mmh3,100000,100000,99875,0.99875,524400,0.0009007455348968506,0.0011948833057115972,6.444215774536133
hllpp_16_mmh3,100000,100000,100503,1.00503,524400,0.0008803187370300293,0.00046278254403560803,6.457090377807617
hllpp_16_mmh3,100000,100000,100223,1.00223,524400,0.0008995709896087647,0.002445182149091453,6.522178649902344
hllpp_16_mmh3,100000,100000,99602,0.99602,524400,0.0008959063053131103,0.0005452747972187286,6.514787673950195
hllpp_16_mmh3,100000,100000,100117,1.00117,524400,0.0009142126083374023,0.0009387801165063074,6.660699844360352
hllpp_16_mmh3,100000,100000,99760,0.9976,524400,0.0008903312206268311,0.0019552047035858457,6.578922271728516
hllpp_16_mmh3,100000,100000,100103,1.00103,524400,0.0009245522499084473,0.006663621795007034,6.444215774536133
