algorithm,max_range,real_cardinality,estimated_cardinality,ratio,size,insertion_time_mean,insertion_time_std,estimation_time
tbe_0.05_0.05,100000,100000,100026,1.00026,4194520,0.0006062364101409912,0.014684048976630941,0.0069141387939453125
tbe_0.05_0.05,100000,100000,100022,1.00022,4194520,0.0005542696952819824,0.009489694403994112,0.004291534423828125
tbe_0.05_0.05,100000,100000,100078,1.00078,4194520,0.0005778321743011474,0.010070820272459733,0.0040531158447265625
tbe_0.05_0.05,100000,100000,99698,0.99698,4194520,0.0005724565505981445,0.009701834131269389,0.003814697265625
tbe_0.05_0.05,100000,100000,100216,1.00216,4194520,0.0005658125400543213,0.011382414183631756,0.0050067901611328125
tbe_0.05_0.05,100000,100000,100352,1.00352,4194520,0.0005774998188018799,0.009507091019035557,0.00476837158203125
tbe_0.05_0.05,100000,100000,100176,1.00176,4194520,0.0005887142658233642,0.009654521452950133,0.004291534423828125
tbe_0.05_0.05,100000,100000,100226,1.00226,4194520,0.0005854213237762451,0.009578345091361587,0.0050067901611328125
tbe_0.05_0.05,100000,100000,99770,0.9977,4194520,0.0005933337211608886,0.010130634012775372,0.0040531158447265625
tbe_0.05_0.05,100000,100000,100494,1.00494,4194520,0.0005685145854949952,0.009599265168869815,0.003814697265625
