algorithm,max_range,real_cardinality,estimated_cardinality,ratio,size,insertion_time_mean,insertion_time_std,estimation_time
hll_16_sha256,60000,60000,60204,1.0034,524400,0.0012046225070953369,0.0006700034134323607,6.461858749389648
hll_16_sha256,60000,60000,60204,1.0034,524400,0.0012189862728118896,0.0007214918786290382,6.437063217163086
hll_16_sha256,60000,60000,60204,1.0034,524400,0.001287518310546875,0.014444049170384832,6.370067596435547
hll_16_sha256,60000,60000,60204,1.0034,524400,0.0012905640125274657,0.011869227288932572,6.528139114379883
hll_16_sha256,60000,60000,60204,1.0034,524400,0.0012027493476867675,0.0005650726664587901,6.358861923217773
hll_16_sha256,60000,60000,60204,1.0034,524400,0.0012003731727600097,0.0028471674578737153,6.381034851074219
hll_16_sha256,60000,60000,60204,1.0034,524400,0.0012243324756622315,0.001069970495367205,6.554841995239258
hll_16_sha256,60000,60000,60204,1.0034,524400,0.001221428680419922,0.0006274497567757112,6.403207778930664
hll_16_sha256,60000,60000,60204,1.0034,524400,0.001268154525756836,0.014174912304961842,6.446123123168945
hll_16_sha256,60000,60000,60204,1.0034,524400,0.0012397927284240723,0.0007556182749727247,6.706953048706055
